param_type,evidence_distance,evidence_distance_label,relation,engagement_model,model_strength,engagement_model_note,param_type_note
EC50,E0,E0 (on-target),exact_compound_exact_receptor_exact_species,functional_engagement,2,normalised functional engagement from a potency parameter (EC50/IC50/Kb) measured on this target (evidence distance E0); it is NOT fractional receptor occupancy,"half-maximal effective concentration of a functional response; the Hill curve is a normalised response, NOT occupancy"
EC50,E1,E1 (cross-species),exact_compound_exact_receptor_other_species,functional_engagement_proxy,1,"normalised functional engagement from a potency parameter transferred from another species, a related preparation or a chemical class (evidence distance E1-E3); it is NOT fractional receptor occupancy and it is not a measurement on this target","half-maximal effective concentration of a functional response; the Hill curve is a normalised response, NOT occupancy"
EC50,E2,E2 (related receptor),exact_compound_related_receptor,functional_engagement_proxy,1,"normalised functional engagement from a potency parameter transferred from another species, a related preparation or a chemical class (evidence distance E1-E3); it is NOT fractional receptor occupancy and it is not a measurement on this target","half-maximal effective concentration of a functional response; the Hill curve is a normalised response, NOT occupancy"
EC50,E3,E3 (class extrapolation),class_extrapolation,functional_engagement_proxy,1,"normalised functional engagement from a potency parameter transferred from another species, a related preparation or a chemical class (evidence distance E1-E3); it is NOT fractional receptor occupancy and it is not a measurement on this target","half-maximal effective concentration of a functional response; the Hill curve is a normalised response, NOT occupancy"
EC50,E4,E4 (unsupported),unsupported,not_modelled,0,not modelled: the evidence does not support any number at this receptor,"half-maximal effective concentration of a functional response; the Hill curve is a normalised response, NOT occupancy"
IC50,E0,E0 (on-target),exact_compound_exact_receptor_exact_species,functional_engagement,2,normalised functional engagement from a potency parameter (EC50/IC50/Kb) measured on this target (evidence distance E0); it is NOT fractional receptor occupancy,"half-maximal inhibitory concentration of a functional or displacement assay; assay-condition dependent, NOT occupancy"
IC50,E1,E1 (cross-species),exact_compound_exact_receptor_other_species,functional_engagement_proxy,1,"normalised functional engagement from a potency parameter transferred from another species, a related preparation or a chemical class (evidence distance E1-E3); it is NOT fractional receptor occupancy and it is not a measurement on this target","half-maximal inhibitory concentration of a functional or displacement assay; assay-condition dependent, NOT occupancy"
IC50,E2,E2 (related receptor),exact_compound_related_receptor,functional_engagement_proxy,1,"normalised functional engagement from a potency parameter transferred from another species, a related preparation or a chemical class (evidence distance E1-E3); it is NOT fractional receptor occupancy and it is not a measurement on this target","half-maximal inhibitory concentration of a functional or displacement assay; assay-condition dependent, NOT occupancy"
IC50,E3,E3 (class extrapolation),class_extrapolation,functional_engagement_proxy,1,"normalised functional engagement from a potency parameter transferred from another species, a related preparation or a chemical class (evidence distance E1-E3); it is NOT fractional receptor occupancy and it is not a measurement on this target","half-maximal inhibitory concentration of a functional or displacement assay; assay-condition dependent, NOT occupancy"
IC50,E4,E4 (unsupported),unsupported,not_modelled,0,not modelled: the evidence does not support any number at this receptor,"half-maximal inhibitory concentration of a functional or displacement assay; assay-condition dependent, NOT occupancy"
Kb,E0,E0 (on-target),exact_compound_exact_receptor_exact_species,functional_engagement,2,normalised functional engagement from a potency parameter (EC50/IC50/Kb) measured on this target (evidence distance E0); it is NOT fractional receptor occupancy,"antagonist dissociation constant from a Schild/Gaddum analysis; a functional estimate, reported as an engagement"
Kb,E1,E1 (cross-species),exact_compound_exact_receptor_other_species,functional_engagement_proxy,1,"normalised functional engagement from a potency parameter transferred from another species, a related preparation or a chemical class (evidence distance E1-E3); it is NOT fractional receptor occupancy and it is not a measurement on this target","antagonist dissociation constant from a Schild/Gaddum analysis; a functional estimate, reported as an engagement"
Kb,E2,E2 (related receptor),exact_compound_related_receptor,functional_engagement_proxy,1,"normalised functional engagement from a potency parameter transferred from another species, a related preparation or a chemical class (evidence distance E1-E3); it is NOT fractional receptor occupancy and it is not a measurement on this target","antagonist dissociation constant from a Schild/Gaddum analysis; a functional estimate, reported as an engagement"
Kb,E3,E3 (class extrapolation),class_extrapolation,functional_engagement_proxy,1,"normalised functional engagement from a potency parameter transferred from another species, a related preparation or a chemical class (evidence distance E1-E3); it is NOT fractional receptor occupancy and it is not a measurement on this target","antagonist dissociation constant from a Schild/Gaddum analysis; a functional estimate, reported as an engagement"
Kb,E4,E4 (unsupported),unsupported,not_modelled,0,not modelled: the evidence does not support any number at this receptor,"antagonist dissociation constant from a Schild/Gaddum analysis; a functional estimate, reported as an engagement"
relative_potency,E0,E0 (on-target),exact_compound_exact_receptor_exact_species,not_modelled,0,not modelled: the evidence does not support any number at this receptor,a fold-difference with no concentration scale; cannot be put through a Hill equation
relative_potency,E1,E1 (cross-species),exact_compound_exact_receptor_other_species,not_modelled,0,not modelled: the evidence does not support any number at this receptor,a fold-difference with no concentration scale; cannot be put through a Hill equation
relative_potency,E2,E2 (related receptor),exact_compound_related_receptor,not_modelled,0,not modelled: the evidence does not support any number at this receptor,a fold-difference with no concentration scale; cannot be put through a Hill equation
relative_potency,E3,E3 (class extrapolation),class_extrapolation,not_modelled,0,not modelled: the evidence does not support any number at this receptor,a fold-difference with no concentration scale; cannot be put through a Hill equation
relative_potency,E4,E4 (unsupported),unsupported,not_modelled,0,not modelled: the evidence does not support any number at this receptor,a fold-difference with no concentration scale; cannot be put through a Hill equation
class_order,E0,E0 (on-target),exact_compound_exact_receptor_exact_species,not_modelled,0,not modelled: the evidence does not support any number at this receptor,"a statement about a chemical class, not a measurement at this receptor; no number is produced"
class_order,E1,E1 (cross-species),exact_compound_exact_receptor_other_species,not_modelled,0,not modelled: the evidence does not support any number at this receptor,"a statement about a chemical class, not a measurement at this receptor; no number is produced"
class_order,E2,E2 (related receptor),exact_compound_related_receptor,not_modelled,0,not modelled: the evidence does not support any number at this receptor,"a statement about a chemical class, not a measurement at this receptor; no number is produced"
class_order,E3,E3 (class extrapolation),class_extrapolation,not_modelled,0,not modelled: the evidence does not support any number at this receptor,"a statement about a chemical class, not a measurement at this receptor; no number is produced"
class_order,E4,E4 (unsupported),unsupported,not_modelled,0,not modelled: the evidence does not support any number at this receptor,"a statement about a chemical class, not a measurement at this receptor; no number is produced"
unknown,E0,E0 (on-target),exact_compound_exact_receptor_exact_species,not_modelled,0,not modelled: the evidence does not support any number at this receptor,no usable number exists for this compound at this receptor
unknown,E1,E1 (cross-species),exact_compound_exact_receptor_other_species,not_modelled,0,not modelled: the evidence does not support any number at this receptor,no usable number exists for this compound at this receptor
unknown,E2,E2 (related receptor),exact_compound_related_receptor,not_modelled,0,not modelled: the evidence does not support any number at this receptor,no usable number exists for this compound at this receptor
unknown,E3,E3 (class extrapolation),class_extrapolation,not_modelled,0,not modelled: the evidence does not support any number at this receptor,no usable number exists for this compound at this receptor
unknown,E4,E4 (unsupported),unsupported,not_modelled,0,not modelled: the evidence does not support any number at this receptor,no usable number exists for this compound at this receptor
